Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb,-9999,Team,Salary,Cash Spent
130,Ke'Shawn Vaughn,TAM,26,RB,5,0,20,33,0,0,25.0,9,1.7,6.6,0,VaugKe00,Buccaneers,1465713,1210986
131,Patrick Taylor,GNB,25,RB,4,0,11,31,0,2,18.2,10,2.8,7.8,0,TaylPa01,Patriots,144000,144000
132,P.J. Walker,CLE,28,QB,3,2,12,31,0,3,50.0,9,2.6,10.3,2,WalkPh00,,,
133,Emanuel Wilson,GNB,24,RB,4,0,7,30,0,1,57.1,14,4.3,7.5,1,WilsEm00,Packers,750000,750000
134,Marquise Brown,ARI,26,WR,8,8,1,29,0,1,100.0,29,29.0,3.6,0,BrowMa04,,,
135,Demario Douglas,NWE,23,WR,7,2,3,29,0,1,100.0,20,9.7,4.1,1,DougDe00,,,
136,Tyson Bagent,CHI,23,QB,3,2,9,27,2,5,55.6,12,3.0,9.0,2,BageTy00,,,
137,Eric Gray,NYG,24,RB,7,0,13,27,0,1,30.8,8,2.1,3.9,3,GrayEr01,Giants,627912,811647
138,Isaiah Spiller,LAC,22,RB,5,0,12,27,0,0,25.0,6,2.3,5.4,0,SpilIs00,Chargers,1054238,870000
139,Deven Thompkins,TAM,24,WR,7,1,3,27,0,2,100.0,11,9.0,3.9,3,ThomDe07,,,
140,Khari Blasingame,CHI,27,FB,8,1,8,26,0,0,25.0,6,3.3,3.3,0,BlasKh00,,,
141,Tua Tagovailoa,MIA,25,QB,8,8,21,26,0,3,14.3,8,1.2,3.3,7,TagoTu00,,,
142,Trayveon Williams,CIN,26,RB,7,0,7,26,0,2,42.9,7,3.7,3.7,0,WillTr06,Bengals,1092500,1232500
143,Kirk Cousins,MIN,35,QB,8,8,14,25,0,6,50.0,10,1.8,3.1,7,CousKi00,,,
144,Chase Edmonds,TAM,27,RB,3,0,7,25,0,2,42.9,14,3.6,8.3,0,EdmoCh00,Buccaneers,1092500,1232500
145,Wan'Dale Robinson,NYG,22,WR,6,2,4,25,0,2,75.0,10,6.3,4.2,0,RobiWa01,,,
146,Tank Dell,HOU,24,WR,6,4,7,24,0,1,57.1,11,3.4,4.0,1,DellNa00,,,
147,Trey Sermon,IND,24,RB,6,0,8,24,0,0,37.5,5,3.0,4.0,0,SermTr00,Colts,835556,835556
148,Dorian Thompson-Robinson,CLE,24,QB,3,1,4,24,0,1,25.0,12,6.0,8.0,1,ThomDo02,,,
149,Raheem Blackshear,CAR,24,RB,3,0,8,23,0,1,37.5,9,2.9,7.7,0,BlacRa00,Panthers,870000,870000
150,Brandin Cooks,DAL,30,WR,6,6,3,23,0,1,66.7,14,7.7,3.8,1,CookBr00,,,
151,Ray-Ray McCloud,SFO,27,WR,8,1,2,23,0,2,100.0,15,11.5,2.9,0,McClRa00,,,
152,Skyy Moore,KAN,23,WR,8,6,3,23,0,1,100.0,11,7.7,2.9,0,MoorSk01,,,
153,Sean Tucker,TAM,22,RB,6,0,15,23,0,1,26.7,7,1.5,3.8,0,TuckSe00,Buccaneers,751666,755000
154,Jeff Wilson,MIA,28,RB,2,0,5,23,0,2,60.0,11,4.6,11.5,0,WilsJe01,Dolphins,2202500,3000000
155,J.K. Dobbins,BAL,25,RB,1,1,8,22,1,1,50.0,4,2.8,22.0,0,DobbJK00,Ravens,1823003,1391287
156,Erik Ezukanma,MIA,23,WR,2,0,5,22,0,1,60.0,12,4.4,11.0,0,EzukEr00,,,
157,Velus Jones Jr.,CHI,26,WR,7,0,4,22,0,1,50.0,17,5.5,3.1,0,JoneVe00,,,
158,Kenny Pickett,PIT,25,QB,7,7,25,22,1,8,36.0,10,0.9,3.1,1,PickKe00,,,
159,Tyrion Davis-Price,SFO,23,RB,1,0,6,21,0,1,50.0,15,3.5,21.0,0,DaviTy03,49ers,1161033,937207
160,Jerick McKinnon,KAN,31,RB,8,0,11,21,0,4,36.4,10,1.9,2.6,0,McKiJe00,Chiefs,1092500,1317500
161,Malik Willis,TEN,24,QB,3,0,5,21,0,1,40.0,11,4.2,7.0,1,WillMa12,,,
162,Mike Boone,HOU,28,RB,6,0,3,20,0,2,100.0,11,6.7,3.3,1,BoonMi00,Texans,1202941,1350000
163,Derek Carr,NOR,32,QB,8,8,15,20,0,3,33.3,10,1.3,2.5,3,CarrDe02,,,
164,Curtis Samuel,WAS,27,WR,8,5,4,20,1,2,75.0,13,5.0,2.5,0,SamuCu00,,,
165,Gary Brightwell,NYG,24,RB,7,0,9,19,0,0,22.2,5,2.1,2.7,0,BrigGa00,Giants,984718,940000
166,Rashod Bateman,BAL,24,WR,7,3,1,18,0,1,100.0,18,18.0,2.6,0,BateRa00,,,
167,Mitchell Trubisky,PIT,29,QB,2,0,3,18,0,1,100.0,8,6.0,9.0,0,TrubMi00,,,
168,George Pickens,PIT,22,WR,7,7,1,16,0,1,100.0,16,16.0,2.3,1,PickGe00,,,
169,Devin Duvernay,BAL,26,WR,8,1,3,15,0,0,66.7,8,5.0,1.9,0,DuveDe00,,,
170,Xavier Hutchinson,HOU,23,WR,7,0,2,15,0,1,100.0,12,7.5,2.1,0,HutcXa00,,,
171,Brandon Powell,MIN,28,WR,8,1,4,15,0,1,75.0,9,3.8,1.9,1,PoweBr00,,,
172,Calvin Austin,PIT,24,WR,7,1,5,14,0,1,40.0,10,2.8,2.0,0,AustCa00,,,
173,DeeJay Dallas,SEA,25,RB,7,0,5,14,0,0,40.0,8,2.8,2.0,1,DallDe00,Seahawks,1133600,1010000
174,Chris Godwin,TAM,27,WR,7,7,1,14,0,1,100.0,14,14.0,2.0,0,GodwCh00,,,
175,Taylor Heinicke,ATL,30,QB,1,0,2,14,0,0,0.0,11,7.0,14.0,0,HeinTa00,,,
176,Tyreek Hill,MIA,29,WR,8,8,1,14,0,1,100.0,14,14.0,1.8,0,HillTy00,,,
177,Deon Jackson,2TM,24,,3,1,13,14,0,1,15.4,7,1.1,4.7,2,JackDe02,Giants,574444,574444
178,Jared Goff,DET,29,QB,8,8,18,13,2,4,22.2,11,0.7,1.6,2,GoffJa00,,,
179,Zonovan Knight,DET,22,RB,2,0,3,13,0,0,33.3,8,4.3,6.5,0,KnigZo00,Lions,488055,488055
180,Hunter Luepke,DAL,23,RB,7,0,3,13,1,2,66.7,9,4.3,1.9,0,LuepHu00,Cowboys,756666,770000
181,Andy Dalton,CAR,36,QB,3,1,3,12,0,2,66.7,10,4.0,4.0,0,DaltAn00,,,
182,Tommy DeVito,NYG,25,QB,1,0,4,12,1,1,25.0,6,3.0,12.0,0,DeViTo00,,,
183,Chris Evans,CIN,26,RB,5,0,2,12,0,0,0.0,7,6.0,2.4,0,EvanCh02,Bengals,983222,940000
184,Zay Flowers,BAL,23,WR,8,8,6,12,0,0,33.3,6,2.0,1.5,0,FlowZa00,,,
185,Ameer Abdullah,LVR,30,RB,8,0,2,11,0,0,50.0,7,5.5,1.4,0,AbduAm00,Raiders,1750000,1750000
186,Braxton Berrios,MIA,28,WR,8,1,1,11,0,1,100.0,11,11.0,1.4,0,BerrBr00,,,
187,Will Levis,TEN,24,QB,1,1,7,11,0,2,42.9,5,1.6,11.0,0,LeviWi00,,,
188,Drew Lock,SEA,27,QB,1,0,1,11,0,1,100.0,11,11.0,11.0,0,LockDr00,,,
189,Isaiah McKenzie,IND,28,WR,8,0,2,11,0,0,50.0,7,5.5,1.4,1,McKeIs00,,,
190,Elijah Moore,CLE,23,WR,7,4,8,11,0,2,37.5,19,1.4,1.6,1,MoorEl00,,,
191,Keisean Nixon,GNB,26,CB,7,5,1,11,0,1,100.0,11,11.0,1.6,0,NixoKe00,,,
192,Ben Skowronek,LAR,26,WR,8,0,1,11,0,1,100.0,11,11.0,1.4,0,SkowBe00,,,
193,Zach Evans,LAR,22,RB,3,0,4,10,0,0,0.0,3,2.5,3.3,0,EvanZa00,Rams,783333,883332
194,Jake Funk,IND,25,RB,4,0,2,10,0,0,0.0,7,5.0,2.5,0,FunkJa00,Dolphins,156000,156000
195,Calvin Ridley,JAX,29,WR,8,8,4,10,0,1,25.0,11,2.5,1.3,1,RidlCa00,,,
196,Treylon Burks,TEN,23,WR,4,4,1,9,0,0,100.0,9,9.0,2.3,0,BurkTr00,,,
197,Rashaad Penny,PHI,27,RB,1,0,3,9,0,1,33.3,6,3.0,9.0,0,PennRa00,Eagles,1230000,1350000
198,Tyler Huntley,BAL,25,QB,2,0,2,8,0,0,0.0,6,4.0,4.0,0,HuntTy01,,,
199,Ty Montgomery,NWE,30,WR,8,0,2,7,0,0,50.0,7,3.5,0.9,0,MontTy01,Patriots,1380000,1700000
200,Keenan Allen,LAC,31,WR,7,7,2,6,0,1,100.0,4,3.0,0.9,1,AlleKe00,,,
201,Tyler Boyd,CIN,29,WR,7,7,1,6,0,1,100.0,6,6.0,0.9,0,BoydTy00,,,
202,Chase Brown,CIN,23,RB,5,0,2,6,0,0,0.0,4,3.0,1.2,0,BrowCh10,Bengals,638206,852823
203,Harrison Bryant,CLE,25,TE,7,3,3,6,0,3,100.0,2,2.0,0.9,0,BryaHa00,,,
204,Elijah Dotson,LAC,24,RB,4,0,4,6,0,0,25.0,2,1.5,1.5,0,DotsEl00,Chargers,752333,757000
205,Kyle Juszczyk,SFO,32,FB,8,7,5,6,0,2,60.0,3,1.2,0.8,0,JuszKy00,,,
206,Christian Kirk,JAX,27,WR,8,8,1,6,0,0,100.0,6,6.0,0.8,1,KirkCh01,,,
207,Adam Thielen,CAR,33,WR,7,7,1,6,0,0,100.0,6,6.0,0.9,0,ThieAd00,,,
208,Garrett Wilson,NYJ,23,WR,7,7,1,6,0,0,100.0,6,6.0,0.9,0,WilsGa00,,,
